,MAE,RMSE,sMAPE,captura_%,pico_1h_%,vs_naive_%
Ensemble,13.098,18.178,65.677,90.452,77.833,-23.8
LightGBM residuo,14.296,19.286,67.644,87.164,78.325,-16.8
Seq2Seq residuo + FT,14.529,19.793,68.941,88.322,70.936,-15.5
Seq2Seq residuo,14.88,20.252,71.965,88.032,69.951,-13.4
Seq2Seq residuo + pesos,14.949,20.711,70.962,87.381,69.458,-13.0
Seq2Seq,15.831,20.202,68.661,90.399,78.325,-7.9
MLP residuo,17.101,23.193,74.565,85.428,65.517,-0.5
naive D (precio de hoy),17.191,26.031,72.441,86.303,67.488,0.0
MLP,23.708,29.205,79.174,88.61,79.31,37.9
naive D-6 (misma semana),26.467,38.453,88.522,85.367,72.414,54.0
LSTM apilada,27.224,36.309,86.193,89.122,80.296,58.4
